dataset	group_name	involved_groups	recomb_map	region	inds_to_exclude
KGP	ACB	ACB	ACB	Africa	
KGP	ASW	ASW	ASW	Africa	
KGP	BEB	BEB	BEB	SouthAsia	
KGP	CDX	CDX	CDX	SoutheastAsia	
KGP	CEU	CEU	CEU	Europe	
KGP	CHB	CHB	CHB	NortheastAsia	
KGP	CHS	CHS	CHS	SoutheastAsia	
KGP	CLM	CLM	CLM	America	
KGP	ESN	ESN	ESN	Africa	
KGP	FIN	FIN	FIN	Europe	
KGP	GBR	GBR	GBR	Europe	
KGP	GIH	GIH	GIH	SouthAsia	
KGP	GWD	GWD	GWD	Africa	
KGP	IBS	IBS	IBS	Europe	
KGP	ITU	ITU	ITU	SouthAsia	
KGP	JPT	JPT	JPT	NortheastAsia	
KGP	KHV	KHV	KHV	SoutheastAsia	
KGP	LWK	LWK	LWK	Africa	
KGP	MSL	MSL	MSL	Africa	
KGP	MXL	MXL	MXL	America	
KGP	PEL	PEL	PEL	America	
KGP	PJL	PJL	PJL	SouthAsia	
KGP	PUR	PUR	PUR	America	
KGP	STU	STU	STU	SouthAsia	
KGP	TSI	TSI	TSI	Europe	
KGP	YRI	YRI	YRI	Africa	
DGP	Adygei	Adygei	CEU	Europe	
DGP	Maya	Maya	MXL	America
DGP	Pima	Pima	MXL	America
DGP	Maya_Pima	Maya,Pima	MXL	America
DGP	Colombian	Colombian	CLM	America	
DGP	Maya_Pima_Colombian	Maya,Pima,Colombian	CLM	America
DGP	Karitiana	Karitiana	CLM	America
DGP	Surui	Surui	CLM	America	
DGP	Karitiana_Surui	Karitiana,Surui	CLM	America
DGP	Bantu	BantuSouthAfrica,BantuKenya	LWK	Africa	
DGP	Basque	Basque	IBS	Europe	
DGP	Bedouin	Bedouin	ESN	MiddleEast	
DGP	BergamoItalian_Tuscan	BergamoItalian,Tuscan	TSI	Europe	
DGP	Biaka_Mbuti	Biaka,Mbuti	YRI	Africa	
DGP	Bougainville	Bougainville	KHV	Oceania	
DGP	Cambodian_Lahu	Cambodian,Lahu	KHV	SoutheastAsia	
DGP	Dai_Cambodian_Lahu	Cambodian,Lahu,Dai	KHV	SoutheastAsia	
DGP	Dai	Dai	KHV	SoutheastAsia	
DGP	Daur_Hezhen_Oroqen_Xibo	Daur,Hezhen,Oroqen,Xibo	CHB	NortheastAsia	
DGP	Druze	Druze	ESN	MiddleEast	
DGP	French_Orcadian	French,Orcadian	GBR	Europe	
DGP	Han	Han	CHB	NortheastAsia	HGDP00811
DGP	Han_NorthernHan	Han,NorthernHan	CHB	NortheastAsia	HGDP00811
DGP	Hazara	Hazara	PJL	SouthAsia	
DGP	Japanese	Japanese	JPT	NortheastAsia	
DGP	Kalash	Kalash	PJL	SouthAsia	
DGP	Makrani_Balochi_Brahui	Makrani,Balochi,Brahui	PJL	SouthAsia	
DGP	Mandenka	Mandenka	YRI	Africa	
DGP	Yoruba	Yoruba	YRI	Africa	
DGP	Mandenka_Yoruba	Mandenka,Yoruba	YRI	Africa	
DGP	Miao_She_Tujia	Miao,She,Tujia	CDX	SoutheastAsia	
DGP	Mozabite	Mozabite	ESN	MiddleEast	
DGP	Naxi_Yi_Tu	Naxi,Yi,Tu	CDX	SoutheastAsia	
DGP	Palestinian	Palestinian	ESN	MiddleEast	
DGP	PapuanHighlands	PapuanHighlands	KHV	Oceania	
DGP	PapuanSepik	PapuanSepik	KHV	Oceania	
